from,to
1420,81844
81844,332726
81844,302983
81844,313886
81844,48451
81844,312071
81844,304576
81844,281062
81844,250777
81844,283824
81844,18224
81844,12148
81844,5418
81844,3538
81844,211237
81844,107950
81844,264334
81844,1945
81844,263126
81844,257672
81844,88469
81844,119035
81844,112460
81844,250186
81844,7935
81844,161384
81844,188658
81844,36963
81844,144058
81844,1121
81844,255778
81844,23768
81844,64486
81844,56927
81844,249774
81844,199862
81844,218233
81844,147989
81844,21597
81844,243919
81844,199538
312071,61250
312071,429916
312071,426816
312071,141248
312071,99523
312071,161519
312071,8275
312071,1
312071,115219
312071,202416
312071,261167
312071,307698
312071,41
312071,303220
312071,45713
312071,48876
312071,292053
312071,156553
312071,264787
312071,300736
312071,223874
312071,10225
312071,77492
312071,291011
312071,302504
312071,248849
312071,479
312071,1422
312071,61
312071,1314
312071,409
312071,499
312071,12
312071,4691
312071,4806
312071,3707
312071,1659
312071,2539
312071,3947
312071,971
302983,311194
302983,308393
302983,57010
302983,277447
302983,69324
302983,38670
302983,221021
302983,173210
302983,110743
302983,280488
302983,210170
302983,289566
302983,220161
302983,286184
302983,239087
302983,275414
302983,286758
302983,197374
302983,277467
302983,277581
302983,909
302983,136240
302983,39831
302983,279604
302983,279645
302983,26419
302983,26059
302983,5418
302983,75965
302983,61618
302983,57090
302983,161051
302983,12303
302983,52401
302983,226555
302983,242679
302983,263126
302983,174331
302983,218008
302983,271567
257672,62583
257672,250777
257672,106119
257672,10163
257672,172479
257672,271739
257672,270910
257672,119031
257672,193005
257672,95818
257672,176642
257672,265673
257672,60575
257672,254471
257672,263830
257672,248445
257672,38716
257672,203761
257672,40436
257672,223594
257672,262859
257672,38043
257672,156445
257672,20767
257672,118944
257672,239993
257672,148099
257672,33202
257672,262726
257672,166059
257672,33455
257672,240487
257672,50159
257672,118255
257672,197276
257672,260553
257672,151185
257672,81844
257672,260570
257672,191972
264334,297292
264334,320054
264334,163631
264334,415291
264334,341971
264334,264572
264334,20690
264334,185372
264334,259528
264334,275722
264334,285947
264334,293356
264334,293358
264334,293955
264334,112460
264334,292095
264334,275008
264334,211237
264334,269117
264334,268658
264334,110607
264334,251461
264334,144058
264334,264332
264334,221653
264334,36928
264334,107950
264334,174331
264334,151185
264334,90341
264334,151921
264334,239602
264334,42603
264334,53305
264334,81116
264334,72209
264334,97429
264334,62583
264334,58119
264334,29006
88469,271606
88469,331498
88469,347787
88469,293047
88469,330280
88469,314638
88469,294599
88469,293602
88469,323783
88469,312162
88469,293146
88469,310017
88469,330705
88469,155175
88469,346253
88469,290345
88469,340063
88469,235342
88469,1121
88469,61779
88469,318205
88469,144058
88469,320098
88469,10163
88469,312111
88469,312071
88469,323767
88469,38786
88469,315699
88469,293834
88469,220161
88469,74700
88469,88324
88469,102255
88469,154564
88469,77202
88469,306286
88469,138038
88469,209901
88469,295020
147989,23938
147989,211237
147989,1054
147989,176493
147989,273780
147989,212591
147989,170837
147989,81844
147989,214477
147989,215981
147989,114198
147989,13510
147989,42831
147989,154890
147989,7846
250777,26246
250777,347787
250777,160084
250777,164244
250777,304701
250777,8246
250777,69813
250777,424597
250777,278984
250777,426048
250777,330705
250777,308393
250777,161519
250777,410793
250777,226263
250777,341823
250777,344852
250777,337646
250777,325822
250777,155200
250777,335434
250777,324854
250777,332849
250777,40436
250777,450
250777,8727
250777,191024
250777,96971
250777,79160
250777,15011
250777,323767
250777,318722
250777,318205
250777,313886
250777,22113
250777,77202
250777,311194
250777,303394
250777,302324
250777,256656
1945,61779
1945,305358
1945,297542
1945,214730
1945,638
1945,203299
1945,255044
1945,112460
1945,248352
1945,48703
1945,248541
1945,252994
1945,264303
1945,44245
1945,63909
1945,2253
1945,81844
1945,104497
1945,249123
1945,249294
1945,242926
1945,7913
1945,251267
1945,112786
1945,256287
1945,252375
1945,2317
1945,148012
1945,237120
1945,157846
1945,136928
1945,50195
1945,214477
1945,135488
1945,141650
1945,160720
1945,27793
1945,136212
1945,13372
1945,140972
313886,264787
313886,43607
313886,1769
313886,315785
313886,295531
313886,157879
313886,11190
313886,271971
313886,7865
313886,201533
313886,7213
313886,50953
313886,227363
313886,152702
313886,152474
313886,152712
313886,158753
313886,28845
313886,24600
313886,14767
313886,164882
313886,41955
313886,27096
313886,60731
313886,13643
313886,163521
313886,90988
313886,163784
313886,136504
313886,178691
313886,177883
313886,188222
313886,195375
313886,197122
313886,196658
313886,65664
313886,59351
313886,25441
313886,190143
313886,177710
255778,258807
255778,11636
255778,4898
255778,29486
255778,4020
255778,9411
255778,248541
255778,196605
255778,3361
255778,107093
255778,63292
255778,141441
255778,31604
255778,2492
255778,10513
255778,54673
255778,9749
255778,259219
255778,92076
255778,168020
255778,36389
255778,35312
255778,36951
255778,37962
255778,19998
255778,84
255778,193
255778,1096
255778,8861
255778,2663
255778,64023
255778,75731
255778,64514
255778,28204
255778,86713
255778,21781
255778,41994
